Customer ID,Customer Name,Segment,City,State,Country,Region,Gender,Age,Education,Marital Status,Order ID,Order Date,Months,Ship Mode,Product Category,Product,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority,Browsing Time (min),Like,Share,Add to Cart
LS-001,Lane Daniels,Consumer,Brisbane,Queensland,Australia,Oceania,Male,22,Associate Degree,Married,AU-2024-1,2024/9/15,Nov,First Class,Auto & Accessories,Car Media Players,$140.00 ,2,0.05,$46.00 ,$4.60 ,Medium,14.7,1,1,1
IZ-002,Alvarado Kriz,Home Office,Berlin,Berlin,Germany,Central,Male,32,Bachelor,Married,AU-2024-2,2024/6/30,Jun,First Class,Auto & Accessories,Car Speakers,$211.00 ,3,0.03,$112.00 ,$11.20 ,Medium,15,0,0,1
EN-003,Moon Weien,Consumer,Porirua,Wellington,New Zealand,Oceania,Male,21,High School,Single,AU-2024-3,2024/5/15,Dec,First Class,Auto & Accessories,Car Body Covers,$117.00 ,5,0.01,$31.20 ,$3.10 ,Critical,19.9,1,1,1
AN-004,Sanchez Bergman,Corporate,Kabul,Kabul,Afghanistan,Central Asia,Male,22,Bachelor,Married,AU-2024-4,2024/9/15,May,First Class,Auto & Accessories,Car & Bike Care,$118.00 ,2,0.05,$26.20 ,$2.60 ,High,15.8,1,1,1
ON-005,Rowe Jackson,Corporate,Townsville,Queensland,Australia,Oceania,Male,28,Associate Degree,Single,AU-2024-5,2023/9/15,Jul,First Class,Auto & Accessories,Tyre,$250.00 ,1,0.04,$160.00 ,$16.00 ,Critical,18.1,1,1,1
TO-006,Carter Barreto,Corporate,Bytom,Silesia,Poland,EMEA,Male,30,Bachelor,Married,AU-2024-6,2023/2/25,Feb,First Class,Auto & Accessories,Bike Tyres,$72.00 ,3,0.04,$24.00 ,$2.40 ,Critical,10.1,1,1,1
OM-007,Mcconnell Tom,Consumer,Chicago,Illinois,United States,Central,Female,20,Associate Degree,Single,AU-2024-7,2023/9/15,Apr,First Class,Auto & Accessories,Car Mat,$54.00 ,1,0.05,$54.00 ,$5.40 ,High,22.1,0,1,0
AN-008,Dennis Holloman,Corporate,Suzhou,Anhui,China,North Asia,Male,18,High School,Single,AU-2024-8,2023/3/30,Mar,First Class,Auto & Accessories,Car Seat Covers,$114.00 ,5,0.02,$22.60 ,$2.30 ,Critical,15.4,0,0,0
EN-009,Wall Olsen,Consumer,Juárez,Chihuahua,Mexico,North,Male,45,Master,Married,AU-2024-9,2023/9/15,Feb,First Class,Auto & Accessories,Car Pillow & Neck Rest,$231.00 ,5,0.03,$116.40 ,$11.60 ,Critical,18.3,1,1,0
TT-0010,Shepard Witt,Consumer,Soyapango,San Salvador,El Salvador,Central,Female,19,High School,Married,AU-2024-10,2023/4/21,Apr,First Class,Auto & Accessories,Car Media Players,$140.00 ,2,0.02,$54.40 ,$5.40 ,Critical,13.2,1,0,0
ED-0011,Johns Reed,Corporate,Taipei,Taipei City,Taiwan,North Asia,Male,43,Master,Single,AU-2024-11,2024/11/16,Nov,First Class,Auto & Accessories,Car Speakers,$211.00 ,4,0.01,$122.60 ,$12.30 ,Critical,4.1,1,1,1
ON-0012,Doyle Knutson,Home Office,Los Angeles,California,United States,West,Male,68,Doctorate,Married,AU-2024-12,2022/1/15,Sep,First Class,Auto & Accessories,Car Body Covers,$117.00 ,4,0.04,$18.30 ,$1.80 ,High,8.5,1,1,1
WN-0013,Butler Brown,Corporate,Saint-Brieuc,Brittany,France,Central,Male,51,Doctorate,Married,AU-2024-13,2023/9/15,Jul,First Class,Auto & Accessories,Car & Bike Care,$118.00 ,1,0.02,$35.60 ,$3.60 ,Critical,29.5,1,0,1
